,y,U_0,U_1,U_2,U_mag,U_mag_mm_per_s,y_um,Relative Error
37,-4.25852e-05,0.000414468,1.43892e-10,-7.26584e-26,0.00041446800000002497,0.414468000000025,-42.5852,-0.00171170361601658
38,-4.23848e-05,0.000424284,1.72995e-10,-7.347170000000001e-26,0.00042428400000003527,0.42428400000003524,-42.3848,-0.0014445084160234674
39,-4.21844e-05,0.000434101,2.02099e-10,-7.4285e-26,0.00043410100000004705,0.43410100000004703,-42.184400000000004,-0.0012101080106979856
40,-4.1984e-05,0.000443917,2.31202e-10,-7.50983e-26,0.00044391700000006017,0.4439170000000602,-41.984,-0.0010071690667068367
41,-4.17836e-05,0.000453733,2.60306e-10,-7.591170000000001e-26,0.00045373300000007465,0.45373300000007466,-41.7836,-0.0008363582507162995
42,-4.15832e-05,0.000463549,2.8941e-10,-7.6725e-26,0.0004635490000000903,0.4635490000000903,-41.5832,-0.0006976755627267073
43,-4.13828e-05,0.000473366,3.18513e-10,-7.75383e-26,0.0004733660000001072,0.4733660000001072,-41.3828,-0.0005917876694047086
44,-4.11824e-05,0.000483222,3.26449e-10,-7.65693e-26,0.00048322200000011027,0.4832220000001103,-41.1824,-0.0005440279040734852
45,-4.0982e-05,0.000493146,2.97432e-10,-7.24888e-26,0.0004931460000000896,0.4931460000000896,-40.982,-0.0005737296000597839
46,-4.07816e-05,0.000503071,2.68415e-10,-6.840830000000001e-26,0.0005030710000000717,0.5030710000000717,-40.781600000000005,-0.0006362260907145275
47,-4.05812e-05,0.000512996,2.39398e-10,-6.43278e-26,0.0005129960000000559,0.5129960000000559,-40.581199999999995,-0.0007308507093704009
48,-4.03808e-05,0.000522921,2.10381e-10,-6.02473e-26,0.0005229210000000423,0.5229210000000423,-40.3808,-0.0008576034560279963
49,-4.01804e-05,0.000532845,1.81364e-10,-5.61669e-26,0.0005328450000000308,0.5328450000000308,-40.1804,-0.0010158176640204057
50,-3.998e-05,0.00054277,1.52347e-10,-5.20864e-26,0.0005427700000000214,0.5427700000000214,-39.98,-0.001206826666680853
51,-3.97796e-05,0.000552695,1.2333e-10,-4.8005900000000003e-26,0.0005526950000000137,0.5526950000000137,-39.7796,-0.00142996379734243
52,-3.95792e-05,0.00056262,9.43135e-11,-4.39254e-26,0.0005626200000000079,0.5626200000000079,-39.5792,-0.0016852290560052108
53,-3.93788e-05,0.000572544,6.52965e-11,-3.98449e-26,0.0005725440000000037,0.5725440000000037,-39.378800000000005,-0.0019719557760025097
54,-3.91784e-05,0.000582059,3.74786e-11,-3.59325e-26,0.0005820590000000012,0.5820590000000012,-39.178399999999996,-0.0020181439573340545
55,-3.8978e-05,0.000591014,1.12981e-11,-3.2250400000000004e-26,0.0005910140000000001,0.591014,-38.978,-0.0017231269333331707
56,-3.87776e-05,0.000599968,-1.48823e-11,-2.85682e-26,0.0005999680000000002,0.5999680000000002,-38.7776,-0.0014595713706667308
57,-3.85772e-05,0.000608923,-4.10628e-11,-2.48861e-26,0.0006089230000000014,0.6089230000000014,-38.5772,-0.0012288106026675887
58,-3.83768e-05,0.000617877,-6.72433e-11,-2.1203900000000002e-26,0.0006178770000000037,0.6178770000000037,-38.3768,-0.0010295112960024462
59,-3.81764e-05,0.000626832,-9.34238e-11,-1.75218e-26,0.000626832000000007,0.6268320000000069,-38.1764,-0.0008630067840046755
60,-3.7976e-05,0.000635786,-1.19604e-10,-1.38397e-26,0.0006357860000000112,0.6357860000000112,-37.976,-0.0007279637333405345
61,-3.77756e-05,0.000644741,-1.45785e-10,-1.01575e-26,0.0006447410000000165,0.6447410000000164,-37.7756,-0.0006257154773442094
62,-3.75752e-05,0.000653696,-1.71965e-10,-6.47536e-27,0.0006536960000000227,0.6536960000000227,-37.5752,-0.0005555953493483479
63,-3.73747e-05,0.00066265,-1.98146e-10,-2.79321e-27,0.0006626500000000296,0.6626500000000296,-37.3747,-0.0005139467026863039
64,-3.71743e-05,0.000671605,-2.24326e-10,8.88935e-28,0.0006716050000000375,0.6716050000000375,-37.1743,-0.0005080988626916897
65,-3.69739e-05,0.000680475,-2.394e-10,3.81866e-27,0.0006804750000000422,0.6804750000000422,-36.9739,-0.00047771248402820693
66,-3.67735e-05,0.000689082,-2.19499e-10,4.37907e-27,0.0006890820000000351,0.689082000000035,-36.773500000000006,-0.00030412090002333397
67,-3.65731e-05,0.000697688,-1.99599e-10,4.9394899999999995e-27,0.0006976880000000285,0.6976880000000285,-36.5731,-0.00016199077735216486
68,-3.63727e-05,0.000706295,-1.79698e-10,5.4999e-27,0.0007062950000000229,0.7062950000000229,-36.372699999999995,-5.2655449348515404e-05
69,-3.61723e-05,0.000714902,-1.59797e-10,6.06031e-27,0.0007149020000000179,0.7149020000000179,-36.1723,2.4551750654818367e-05
70,-3.59719e-05,0.000723508,-1.39897e-10,6.62073e-27,0.0007235080000000135,0.7235080000000136,-35.9719,7.029748932430024e-05
71,-3.57715e-05,0.000732115,-1.19996e-10,7.18114e-27,0.0007321150000000098,0.7321150000000098,-35.7715,8.32484333267806e-05
72,-3.55711e-05,0.000740721,-1.00095e-10,7.74155e-27,0.0007407210000000068,0.7407210000000067,-35.5711,6.473791599555707e-05
73,-3.53707e-05,0.000749328,-8.01948e-11,8.30197e-27,0.0007493280000000043,0.7493280000000043,-35.3707,1.3432603997332038e-05
